Classifier,ADASYN,BorderlineSMOTE,RandomUnderSampler,SMOTE,SVMSMOTE
DecisionTreeClassifier,98.36601307189542,98.69281045751634,25.0,98.69281045751634,97.79735682819384
GaussianNB,83.00653594771242,93.79084967320262,25.0,85.94771241830065,94.27312775330397
GradientBoostingClassifier,98.36601307189542,99.34640522875817,25.0,98.36601307189542,99.11894273127754
LogisticRegression,91.17647058823529,98.36601307189542,25.0,91.83006535947712,97.3568281938326
RandomForestClassifier,99.34640522875817,100.0,25.0,99.34640522875817,100.0
